title,href,body,date
"ANIES BASWEDAN INDONESIA on Instagram: ""Imam Besar Front Pembela Islam ...",https://www.instagram.com/p/CHKVWZrnYOT/,"940 likes, 43 comments - ANIES BASWEDAN INDONESIA (@aniesbaswedan.2024) on Instagram: ""Imam Besar Front Pembela Islam atau FPI, Habib Rizieq Shihab mengumumkan kepulangannya ke Indones..."" ANIES BASWEDAN INDONESIA on Instagram: ""Imam Besar Front Pembela Islam atau FPI, Habib Rizieq Shihab mengumumkan kepulangannya ke Indonesia dan akan tiba di ...",2023-01-02
"BuddyKu Headlines on Instagram: ""Buddies! Bakal Calon Presiden ...",https://www.instagram.com/p/Cn0MrvFPJdB/,"Bakal Calon Presiden (Bacapres) 2024 dari Partai Nasdem, Anies Baswedan akan menghadiri ..."" BuddyKu Headlines on Instagram: ""Buddies! Bakal Calon Presiden (Bacapres) 2024 dari Partai Nasdem, Anies Baswedan akan menghadiri jalan sehat melangkah bersama menuju perubahan 2024.",2023-01-02
"SINDOnews on Instagram: ""Meski memiliki elektabilitas tinggi dalam ...",https://www.instagram.com/p/CeAjzwnP0wi/,"309 likes, 29 comments - SINDOnews (@sindonews) on Instagram: ""Meski memiliki elektabilitas tinggi dalam sejumlah survei capres 2024, Anies Baswedan punya kelem..."" SINDOnews on Instagram: ""Meski memiliki elektabilitas tinggi dalam sejumlah survei capres 2024, Anies Baswedan punya kelemahan karena bukan orang parpol.",2023-01-02
"ANIES BASWEDAN INDONESIA on Instagram: ""Dengerin ye""",https://www.instagram.com/p/ClEVrd9IOEe/,"1,286 likes, 70 comments - ANIES BASWEDAN INDONESIA (@aniesbaswedan.2024) on Instagram: ""Dengerin ye""",2023-01-02
"ANIES BASWEDAN on Instagram: ""Calon Presiden Indonesia 2024 # ...",https://www.instagram.com/p/Cm6c9HFr7Cu/,"9 likes, 0 comments - ANIES BASWEDAN (@aniesrasyidbaswedan_presiden) on Instagram: ""Calon Presiden Indonesia 2024 #aniesbaswedan #love #indonesia #aceh""",2023-01-02
"djawanewscom on Instagram: ""Nama Gubernur DKI Jakarta Anies Baswedan ...",https://www.instagram.com/p/CXLJQeqNF8C/,"19 likes, 2 comments - @djawanewscom on Instagram: ""Nama Gubernur DKI Jakarta Anies Baswedan dan Gubernur Jawa Tengah Ganjar Pranowo selalu muncul da..."" djawanewscom on Instagram: ""Nama Gubernur DKI Jakarta Anies Baswedan dan Gubernur Jawa Tengah Ganjar Pranowo selalu muncul dalam bursa calon presiden (Capres) 2024 dengan elektabilitas tinggi.",2023-01-02
"inilahcom on Instagram: ""Bakal calon presiden (bacapres), Anies ...",https://www.instagram.com/p/CrU91LWvPpV/,"882 likes, 98 comments - inilahcom (@inilah_com) on Instagram: ""Bakal calon presiden (bacapres), Anies Baswedan memberikan selamat atas deklarasi Ganjar Pranowo ..."" inilahcom on Instagram: ""Bakal calon presiden (bacapres), Anies Baswedan memberikan selamat atas deklarasi Ganjar Pranowo sebagai calon presiden (capres) PDIP, yang juga calon ...",2023-01-02
"Anies Untuk Perubahan on Instagram: ""Tidak ada yang salah dengan ...",https://www.instagram.com/p/Cra_aqzPFb2/,"11 likes, 2 comments - Anies Untuk Perubahan (@aniespresiden_2024) on Instagram: ""Tidak ada yang salah dengan diusung nya Ganjar,, yang jelas ini menguntungkan Anies Baswedan 1.Pe ...",2023-01-02
"inilahcom on Instagram: ""Gubernur DKI Jakarta Anies Baswedan dan ...",https://www.instagram.com/p/CXAlS8TPSQE/,"103 likes, 9 comments - inilahcom (@inilah_com) on Instagram: ""Gubernur DKI Jakarta Anies Baswedan dan Gubernur Jawa Barat Ridwan Kamil berpeluang ikut bertarun..."" inilahcom on Instagram: ""Gubernur DKI Jakarta Anies Baswedan dan Gubernur Jawa Barat Ridwan Kamil berpeluang ikut bertarung di Pilpres 2024.",2023-01-02
"BERGERAK FOR ANIES BASWEDAN on Instagram: ""BERGERAK FOR ANIES-AHY 2024 ...",https://www.instagram.com/p/CkI5vYZpeKB/,"29 likes, 0 comments - BERGERAK FOR ANIES BASWEDAN (@bergerakforanies) on Instagram: ""BERGERAK FOR ANIES-AHY 2024 DPP BERGERAK ( BERSAMA GERAKAN RAKYAT ) MULAI MEMANASKAN MESIN BERGE ...",2023-01-02
"ANIES BASWEDAN INDONESIA on Instagram: ""*TRENDING TOPIK INDONESIA ...",https://www.instagram.com/p/CIFwgTRH-Fb/,"26 likes, 0 comments - ANIES BASWEDAN INDONESIA (@aniesbaswedan.2024) on Instagram: ""*TRENDING TOPIK INDONESIA* Seorang pelajar berhasil meraih penghargaan tertinggi atas ditemukanny ...",2023-01-02
"BERGERAK FOR ANIES BASWEDAN on Instagram: ""#TerimaKasihAnies DPP ...",https://www.instagram.com/p/Cj1R25ohOyY/,"93 likes, 3 comments - BERGERAK FOR ANIES BASWEDAN (@bergerakforanies) on Instagram: ""#TerimaKasihAnies DPP BERGERAK ( BERSAMA GERAKAN RAKYAT ) MULAI MEMANASKAN MESIN BERGERAK DENGA ...",2023-01-02
"Anies Update on Instagram: ""KOMPAS.com - Gubernur Jawa Barat Ridwan ...",https://www.instagram.com/p/CP_6yU3HrGA/,"574 likes, 14 comments - Anies Update (@aniesupdate) on Instagram: ""KOMPAS.com - Gubernur Jawa Barat Ridwan Kamil tertawa saat mendengar jawaban Gubernur DKI Jakart..."" Anies Update on Instagram: ""KOMPAS.com - Gubernur Jawa Barat Ridwan Kamil tertawa saat mendengar jawaban Gubernur DKI Jakarta Anies Baswedan soal Pilpres 2024.",2023-01-02
"Sisi Sulteng on Instagram: ""Bakal Calon Presiden 2024 Partai Nasdem ...",https://www.instagram.com/p/CjPsxapBRJb/,"174 likes, 2 comments - Sisi Sulteng (@sisi_sulteng) on Instagram: ""Bakal Calon Presiden 2024 Partai Nasdem Anies Baswedan menyatakan bahwa dirinya siap maju sebagai..."" Sisi Sulteng on Instagram: ""Bakal Calon Presiden 2024 Partai Nasdem Anies Baswedan menyatakan bahwa dirinya siap maju sebagai Capres 2024 dari Partai NasDem.",2023-01-02
