,date,title,href,body,topics
0,2022-11-01,"Anies Rasyid Baswedan on Instagram: ""Turut berbagi gagasan pada ...",https://www.instagram.com/p/CkdTjw4SWmv/,"66.4k Likes, 810 Comments - Anies Rasyid Baswedan (@aniesbaswedan) on Instagram: ""Turut berbagi gagasan pada Pelatihan Relawan Advokasi Pemerlu Pelayanan Kesejahteraan Sosial (PPKS)…""","Anies Rasyid Baswedan on Instagram: ""Turut berbagi gagasan pada ...-66.4k Likes, 810 Comments - Anies Rasyid Baswedan (@aniesbaswedan) on Instagram: ""Turut berbagi gagasan pada Pelatihan Relawan Advokasi Pemerlu Pelayanan Kesejahteraan Sosial (PPKS)…"""
1,2022-11-02,"Anies Rasyid Baswedan on Instagram: ""Turut berbagi gagasan pada ...",https://www.instagram.com/p/CkdTjw4SWmv/,"66.4k Likes, 810 Comments - Anies Rasyid Baswedan (@aniesbaswedan) on Instagram: ""Turut berbagi gagasan pada Pelatihan Relawan Advokasi Pemerlu Pelayanan Kesejahteraan Sosial (PPKS)…""","Anies Rasyid Baswedan on Instagram: ""Turut berbagi gagasan pada ...-66.4k Likes, 810 Comments - Anies Rasyid Baswedan (@aniesbaswedan) on Instagram: ""Turut berbagi gagasan pada Pelatihan Relawan Advokasi Pemerlu Pelayanan Kesejahteraan Sosial (PPKS)…"""
2,2022-11-04,"Sorak sorai warga Medan serentak menjawab ""ANIES""",https://www.instagram.com/p/Ckj6zZoOOnR/,"91.3k Likes, 3,355 Comments - Partai NasDem (@official_nasdem) on Instagram: ""Siapa presidennya? Sorak sorai warga Medan serentak menjawab ""ANIES"" Apa partainya? Warga serentak…""","Sorak sorai warga Medan serentak menjawab ""ANIES""-91.3k Likes, 3,355 Comments - Partai NasDem (@official_nasdem) on Instagram: ""Siapa presidennya? Sorak sorai warga Medan serentak menjawab ""ANIES"" Apa partainya? Warga serentak…"""
3,2022-11-05,"Sorak sorai warga Medan serentak menjawab ""ANIES"" - Instagram",https://www.instagram.com/p/Ckj6zZoOOnR/,"91.3k Likes, 3,355 Comments - Partai NasDem (@official_nasdem) on Instagram: ""Siapa presidennya? Sorak sorai warga Medan serentak menjawab ""ANIES"" Apa partainya? Warga serentak…""","Sorak sorai warga Medan serentak menjawab ""ANIES"" - Instagram-91.3k Likes, 3,355 Comments - Partai NasDem (@official_nasdem) on Instagram: ""Siapa presidennya? Sorak sorai warga Medan serentak menjawab ""ANIES"" Apa partainya? Warga serentak…"""
4,2022-11-05,majalah.tempo on Instagram: Anies Baswedan belum mulus jadi bakal calon ...,https://www.instagram.com/p/CknaGPljW_r/,majalah.tempo • Original audio,majalah.tempo on Instagram: Anies Baswedan belum mulus jadi bakal calon ...-majalah.tempo • Original audio
5,2022-11-06,Tiga partai pengusung Anies Baswedan sebagai calon Presiden 2024 ...,https://www.instagram.com/p/CkqBiBpuXWR/,Tiga partai pengusung Anies Baswedan sebagai calon Presiden 2024 terbelah soal calon wakil presiden. Ada lobi dari istana? ... Masalahnya mas Anies bisa split kayak Van Damme gak yah 😂 ... Gw pendukung Anies. Tpi jujur ga tau knapa gw ngerasa Anies gak bakal menang 😔 sma kya dlu gw dukung si Wowo,Tiga partai pengusung Anies Baswedan sebagai calon Presiden 2024 ...-Tiga partai pengusung Anies Baswedan sebagai calon Presiden 2024 terbelah soal calon wakil presiden. Ada lobi dari istana? ... Masalahnya mas Anies bisa split kayak Van Damme gak yah 😂 ... Gw pendukung Anies. Tpi jujur ga tau knapa gw ngerasa Anies gak bakal menang 😔 sma kya dlu gw dukung si Wowo
6,2022-11-06,majalah.tempo on Instagram: Anies Baswedan belum mulus jadi bakal calon ...,https://www.instagram.com/p/CknaGPljW_r/,majalah.tempo • Original audio,majalah.tempo on Instagram: Anies Baswedan belum mulus jadi bakal calon ...-majalah.tempo • Original audio
7,2022-11-07,Tiga partai pengusung Anies Baswedan sebagai calon Presiden 2024 ...,https://www.instagram.com/p/CkqBiBpuXWR/,Tiga partai pengusung Anies Baswedan sebagai calon Presiden 2024 terbelah soal calon wakil presiden. Ada lobi dari istana? ... Masalahnya mas Anies bisa split kayak Van Damme gak yah 😂 ... Gw pendukung Anies. Tpi jujur ga tau knapa gw ngerasa Anies gak bakal menang 😔 sma kya dlu gw dukung si Wowo,Tiga partai pengusung Anies Baswedan sebagai calon Presiden 2024 ...-Tiga partai pengusung Anies Baswedan sebagai calon Presiden 2024 terbelah soal calon wakil presiden. Ada lobi dari istana? ... Masalahnya mas Anies bisa split kayak Van Damme gak yah 😂 ... Gw pendukung Anies. Tpi jujur ga tau knapa gw ngerasa Anies gak bakal menang 😔 sma kya dlu gw dukung si Wowo
8,2022-11-09,"VIVA.CO.ID on Instagram: ""Poros partai politik atau parpol pendukung ...",https://www.instagram.com/p/Ckx5aeFAsyV/,"1,056 likes, 109 comments - VIVA.CO.ID (@vivacoid) on Instagram: ""Poros partai politik atau parpol pendukung Anies Baswedan jadi sorotan karena batal deklarasi 'Ko..."" VIVA.CO.ID on Instagram: ""Poros partai politik atau parpol pendukung Anies Baswedan jadi sorotan karena batal deklarasi 'Koalisi Perubahan' pada Kamis, 10 November 2022.","VIVA.CO.ID on Instagram: ""Poros partai politik atau parpol pendukung ...-1,056 likes, 109 comments - VIVA.CO.ID (@vivacoid) on Instagram: ""Poros partai politik atau parpol pendukung Anies Baswedan jadi sorotan karena batal deklarasi 'Ko..."" VIVA.CO.ID on Instagram: ""Poros partai politik atau parpol pendukung Anies Baswedan jadi sorotan karena batal deklarasi 'Koalisi Perubahan' pada Kamis, 10 November 2022."
9,2022-11-10,"VIVA.CO.ID on Instagram: ""Poros partai politik atau parpol pendukung ...",https://www.instagram.com/p/Ckx5aeFAsyV/,"1,056 likes, 109 comments - VIVA.CO.ID (@vivacoid) on Instagram: ""Poros partai politik atau parpol pendukung Anies Baswedan jadi sorotan karena batal deklarasi 'Ko..."" VIVA.CO.ID on Instagram: ""Poros partai politik atau parpol pendukung Anies Baswedan jadi sorotan karena batal deklarasi 'Koalisi Perubahan' pada Kamis, 10 November 2022.","VIVA.CO.ID on Instagram: ""Poros partai politik atau parpol pendukung ...-1,056 likes, 109 comments - VIVA.CO.ID (@vivacoid) on Instagram: ""Poros partai politik atau parpol pendukung Anies Baswedan jadi sorotan karena batal deklarasi 'Ko..."" VIVA.CO.ID on Instagram: ""Poros partai politik atau parpol pendukung Anies Baswedan jadi sorotan karena batal deklarasi 'Koalisi Perubahan' pada Kamis, 10 November 2022."
10,2022-11-10,"Anies Rasyid Baswedan on Instagram: ""Hari ini 11 tahun Partai Nasdem ...",https://www.instagram.com/p/Ckz-XpWr5R1/,"11k Likes, 215 Comments - Anies Rasyid Baswedan (@aniesbaswedan) on Instagram: ""Hari ini 11 tahun Partai Nasdem menjadi rumah pergerakan yang konsisten menyuarakan aspirasi dan…""","Anies Rasyid Baswedan on Instagram: ""Hari ini 11 tahun Partai Nasdem ...-11k Likes, 215 Comments - Anies Rasyid Baswedan (@aniesbaswedan) on Instagram: ""Hari ini 11 tahun Partai Nasdem menjadi rumah pergerakan yang konsisten menyuarakan aspirasi dan…"""
11,2022-11-10,"Anies Rasyid Baswedan on Instagram: ""Alhamdulillah, bersyukur bisa ...",https://www.instagram.com/p/Ck0myLuJ7v4/,"16.4k Likes, 240 Comments - Anies Rasyid Baswedan (@aniesbaswedan) on Instagram: ""Alhamdulillah, bersyukur bisa hadir siang tadi memperingati 11 tahun perjalanan Partai Nasdem.…""","Anies Rasyid Baswedan on Instagram: ""Alhamdulillah, bersyukur bisa ...-16.4k Likes, 240 Comments - Anies Rasyid Baswedan (@aniesbaswedan) on Instagram: ""Alhamdulillah, bersyukur bisa hadir siang tadi memperingati 11 tahun perjalanan Partai Nasdem.…"""
12,2022-11-11,"Anies Rasyid Baswedan on Instagram: ""Hari ini 11 tahun Partai Nasdem ...",https://www.instagram.com/p/Ckz-XpWr5R1/,"11k Likes, 215 Comments - Anies Rasyid Baswedan (@aniesbaswedan) on Instagram: ""Hari ini 11 tahun Partai Nasdem menjadi rumah pergerakan yang konsisten menyuarakan aspirasi dan…""","Anies Rasyid Baswedan on Instagram: ""Hari ini 11 tahun Partai Nasdem ...-11k Likes, 215 Comments - Anies Rasyid Baswedan (@aniesbaswedan) on Instagram: ""Hari ini 11 tahun Partai Nasdem menjadi rumah pergerakan yang konsisten menyuarakan aspirasi dan…"""
13,2022-11-11,"Anies Rasyid Baswedan on Instagram: ""Alhamdulillah, bersyukur bisa ...",https://www.instagram.com/p/Ck0myLuJ7v4/,"16.4k Likes, 240 Comments - Anies Rasyid Baswedan (@aniesbaswedan) on Instagram: ""Alhamdulillah, bersyukur bisa hadir siang tadi memperingati 11 tahun perjalanan Partai Nasdem.…""","Anies Rasyid Baswedan on Instagram: ""Alhamdulillah, bersyukur bisa ...-16.4k Likes, 240 Comments - Anies Rasyid Baswedan (@aniesbaswedan) on Instagram: ""Alhamdulillah, bersyukur bisa hadir siang tadi memperingati 11 tahun perjalanan Partai Nasdem.…"""
14,2022-11-12,"Partai NasDem on Instagram: """"Lihatlah kenyataan di Jakarta. Tunjukkan ...",https://www.instagram.com/p/Ck5CmRjr8zG/,Anies Rasyid Baswedan Berikut 5 capaian terbesar Anies Baswedan untuk warga DKI Jakarta #PrestasiAnies #AniesForPresident2024. 4w. valentinoibanez22. Pengen ketawa tapi ya.. Sudahlah wkwk. 20h. Reply. ksbmall.,"Partai NasDem on Instagram: """"Lihatlah kenyataan di Jakarta. Tunjukkan ...-Anies Rasyid Baswedan Berikut 5 capaian terbesar Anies Baswedan untuk warga DKI Jakarta #PrestasiAnies #AniesForPresident2024. 4w. valentinoibanez22. Pengen ketawa tapi ya.. Sudahlah wkwk. 20h. Reply. ksbmall."
15,2022-11-13,"Partai NasDem on Instagram: """"Lihatlah kenyataan di Jakarta. Tunjukkan ...",https://www.instagram.com/p/Ck5CmRjr8zG/,Anies Rasyid Baswedan Berikut 5 capaian terbesar Anies Baswedan untuk warga DKI Jakarta #PrestasiAnies #AniesForPresident2024. 4w. valentinoibanez22. Pengen ketawa tapi ya.. Sudahlah wkwk. 20h. Reply. ksbmall.,"Partai NasDem on Instagram: """"Lihatlah kenyataan di Jakarta. Tunjukkan ...-Anies Rasyid Baswedan Berikut 5 capaian terbesar Anies Baswedan untuk warga DKI Jakarta #PrestasiAnies #AniesForPresident2024. 4w. valentinoibanez22. Pengen ketawa tapi ya.. Sudahlah wkwk. 20h. Reply. ksbmall."
16,2023-02-05,"#1 Gerakan Kerelawanan Indonesia on Instagram: ""Beberapa hari lalu ...",https://www.instagram.com/p/CoUZjuXLxZg/,"Beberapa hari lalu, akhirnya Partai Keadilan Sejahtera (PKS) secara resmi menyatakan sikapnya untuk mendukung Anies sebagai calon presiden pada pilpres 2024. Dengan pernyataan sikap tersebut, melengkapi Koalisi Perubahan telah diisi oleh Partai Nasdem pada tanggal 3 Oktober 2022 dan Partai Demokrat tanggal 26 Januari 2023.","#1 Gerakan Kerelawanan Indonesia on Instagram: ""Beberapa hari lalu ...-Beberapa hari lalu, akhirnya Partai Keadilan Sejahtera (PKS) secara resmi menyatakan sikapnya untuk mendukung Anies sebagai calon presiden pada pilpres 2024. Dengan pernyataan sikap tersebut, melengkapi Koalisi Perubahan telah diisi oleh Partai Nasdem pada tanggal 3 Oktober 2022 dan Partai Demokrat tanggal 26 Januari 2023."
17,2023-02-05,Upaya menggolkan perpanjangan masa jabatan presiden dan 3 ... - Instagram,https://www.instagram.com/p/CoT9T2tOarC/,"Banyak petinggi partai politik, termasuk pendukung Presiden Jokowi, pun menolak gagasan yang melanggar konstitusi itu. Namun, manuver yang disinyalir didukung Istana itu tak pernah mati sejak periode kedua pemerintahan Jokowi. Seperti apa langkah gerilya mengegolkan perpanjangan masa jabatan presiden?","Upaya menggolkan perpanjangan masa jabatan presiden dan 3 ... - Instagram-Banyak petinggi partai politik, termasuk pendukung Presiden Jokowi, pun menolak gagasan yang melanggar konstitusi itu. Namun, manuver yang disinyalir didukung Istana itu tak pernah mati sejak periode kedua pemerintahan Jokowi. Seperti apa langkah gerilya mengegolkan perpanjangan masa jabatan presiden?"
18,2023-02-06,trending.issue on Instagram: Para pendukung Anies bisa aja ...,https://www.instagram.com/p/CoWgOXCj_kn/,trending.issue • Original audio,trending.issue on Instagram: Para pendukung Anies bisa aja ...-trending.issue • Original audio
19,2023-02-06,"Anies Update on Instagram: ""JAKARTA - Bakal calon Presiden Anies ...",https://www.instagram.com/p/CoWIh0zpQem/,"1,016 Likes, 25 Comments - Anies Update (@aniesupdate) on Instagram: ""JAKARTA - Bakal calon Presiden Anies Baswedan akan menghadiri Rapat Kerja Nasional (Rakernas)…""","Anies Update on Instagram: ""JAKARTA - Bakal calon Presiden Anies ...-1,016 Likes, 25 Comments - Anies Update (@aniesupdate) on Instagram: ""JAKARTA - Bakal calon Presiden Anies Baswedan akan menghadiri Rapat Kerja Nasional (Rakernas)…"""
20,2023-02-06,"Relawan Anies Baswedan on Instagram: ""Partai NasDem, Demokrat dan PKS ...",https://www.instagram.com/p/CoV1KYsyQVQ/,"198 Likes, 24 Comments - Relawan Anies Baswedan (@relawananiesofficial) on Instagram: ""Partai NasDem, Demokrat dan PKS sudah selangkah lagi akan mendeklarasikan Koalisi Perubahan.…""","Relawan Anies Baswedan on Instagram: ""Partai NasDem, Demokrat dan PKS ...-198 Likes, 24 Comments - Relawan Anies Baswedan (@relawananiesofficial) on Instagram: ""Partai NasDem, Demokrat dan PKS sudah selangkah lagi akan mendeklarasikan Koalisi Perubahan.…"""
21,2023-02-06,"#1 Gerakan Kerelawanan Indonesia on Instagram: ""Beberapa hari lalu ...",https://www.instagram.com/p/CoUZjuXLxZg/,"Beberapa hari lalu, akhirnya Partai Keadilan Sejahtera (PKS) secara resmi menyatakan sikapnya untuk mendukung Anies sebagai calon presiden pada pilpres 2024. Dengan pernyataan sikap tersebut, melengkapi Koalisi Perubahan telah diisi oleh Partai Nasdem pada tanggal 3 Oktober 2022 dan Partai Demokrat tanggal 26 Januari 2023.","#1 Gerakan Kerelawanan Indonesia on Instagram: ""Beberapa hari lalu ...-Beberapa hari lalu, akhirnya Partai Keadilan Sejahtera (PKS) secara resmi menyatakan sikapnya untuk mendukung Anies sebagai calon presiden pada pilpres 2024. Dengan pernyataan sikap tersebut, melengkapi Koalisi Perubahan telah diisi oleh Partai Nasdem pada tanggal 3 Oktober 2022 dan Partai Demokrat tanggal 26 Januari 2023."
22,2023-02-06,Upaya menggolkan perpanjangan masa jabatan presiden dan 3 ... - Instagram,https://www.instagram.com/p/CoT9T2tOarC/,"Banyak petinggi partai politik, termasuk pendukung Presiden Jokowi, pun menolak gagasan yang melanggar konstitusi itu. Namun, manuver yang disinyalir didukung Istana itu tak pernah mati sejak periode kedua pemerintahan Jokowi. Seperti apa langkah gerilya mengegolkan perpanjangan masa jabatan presiden?","Upaya menggolkan perpanjangan masa jabatan presiden dan 3 ... - Instagram-Banyak petinggi partai politik, termasuk pendukung Presiden Jokowi, pun menolak gagasan yang melanggar konstitusi itu. Namun, manuver yang disinyalir didukung Istana itu tak pernah mati sejak periode kedua pemerintahan Jokowi. Seperti apa langkah gerilya mengegolkan perpanjangan masa jabatan presiden?"
23,2023-02-07,trending.issue on Instagram: Para pendukung Anies bisa aja ...,https://www.instagram.com/p/CoWgOXCj_kn/,trending.issue • Original audio,trending.issue on Instagram: Para pendukung Anies bisa aja ...-trending.issue • Original audio
24,2023-02-07,"Anies Update on Instagram: ""JAKARTA - Bakal calon Presiden Anies ...",https://www.instagram.com/p/CoWIh0zpQem/,"1,016 Likes, 25 Comments - Anies Update (@aniesupdate) on Instagram: ""JAKARTA - Bakal calon Presiden Anies Baswedan akan menghadiri Rapat Kerja Nasional (Rakernas)…""","Anies Update on Instagram: ""JAKARTA - Bakal calon Presiden Anies ...-1,016 Likes, 25 Comments - Anies Update (@aniesupdate) on Instagram: ""JAKARTA - Bakal calon Presiden Anies Baswedan akan menghadiri Rapat Kerja Nasional (Rakernas)…"""
25,2023-02-07,"Relawan Anies Baswedan on Instagram: ""Partai NasDem, Demokrat dan PKS ...",https://www.instagram.com/p/CoV1KYsyQVQ/,"198 Likes, 24 Comments - Relawan Anies Baswedan (@relawananiesofficial) on Instagram: ""Partai NasDem, Demokrat dan PKS sudah selangkah lagi akan mendeklarasikan Koalisi Perubahan.…""","Relawan Anies Baswedan on Instagram: ""Partai NasDem, Demokrat dan PKS ...-198 Likes, 24 Comments - Relawan Anies Baswedan (@relawananiesofficial) on Instagram: ""Partai NasDem, Demokrat dan PKS sudah selangkah lagi akan mendeklarasikan Koalisi Perubahan.…"""
26,2023-02-07,katadatacoid on Instagram: Peta koalisi partai politik pengusung calon ...,https://www.instagram.com/p/CoZPJbRM-xp/,MaxKoMusic • Powerful,katadatacoid on Instagram: Peta koalisi partai politik pengusung calon ...-MaxKoMusic • Powerful
27,2023-02-08,katadatacoid on Instagram: Peta koalisi partai politik pengusung calon ...,https://www.instagram.com/p/CoZPJbRM-xp/,MaxKoMusic • Powerful,katadatacoid on Instagram: Peta koalisi partai politik pengusung calon ...-MaxKoMusic • Powerful
28,2023-02-08,"BuddyKu Headlines on Instagram: ""Loyalis Anies Baswedan, Geisz Chalifah ...",https://www.instagram.com/p/CocUm94PV0K/,"135 Likes, 7 Comments - BuddyKu Headlines (@buddykuofficial) on Instagram: ""Loyalis Anies Baswedan, Geisz Chalifah mengaku para pendukung calon presiden usungan koalisi…""","BuddyKu Headlines on Instagram: ""Loyalis Anies Baswedan, Geisz Chalifah ...-135 Likes, 7 Comments - BuddyKu Headlines (@buddykuofficial) on Instagram: ""Loyalis Anies Baswedan, Geisz Chalifah mengaku para pendukung calon presiden usungan koalisi…"""
29,2023-02-08,"Bella on Instagram: ""Pendukung partai apa nih?""",https://www.instagram.com/p/CoclkVgyJnC/,"8 Likes, 2 Comments - Bella (@teman2bella) on Instagram: ""Pendukung partai apa nih?""","Bella on Instagram: ""Pendukung partai apa nih?""-8 Likes, 2 Comments - Bella (@teman2bella) on Instagram: ""Pendukung partai apa nih?"""
30,2023-02-08,"Ninna Id on Instagram: ""Banyak yang penasaran dengan profil biodata ...",https://www.instagram.com/p/Cob2sQyP1H8/,"0 Likes, 0 Comments - Ninna Id (@id_ninna) on Instagram: ""Banyak yang penasaran dengan profil biodata Geisz Chalifah. Sosok pendukung Anies Baswedan yang…""","Ninna Id on Instagram: ""Banyak yang penasaran dengan profil biodata ...-0 Likes, 0 Comments - Ninna Id (@id_ninna) on Instagram: ""Banyak yang penasaran dengan profil biodata Geisz Chalifah. Sosok pendukung Anies Baswedan yang…"""
31,2023-02-09,"Relawan Anies Baswedan on Instagram: ""IT'S TIME! Anies Mendengar Warga ...",https://www.instagram.com/p/CoeLPIhp6-z/,"209 Likes, 10 Comments - Relawan Anies Baswedan (@relawananiesofficial) on Instagram: ""IT'S TIME! Anies Mendengar Warga Kalimantan Selatan Jangan sampai terlewatkan 15-16 Februari 2023…""","Relawan Anies Baswedan on Instagram: ""IT'S TIME! Anies Mendengar Warga ...-209 Likes, 10 Comments - Relawan Anies Baswedan (@relawananiesofficial) on Instagram: ""IT'S TIME! Anies Mendengar Warga Kalimantan Selatan Jangan sampai terlewatkan 15-16 Februari 2023…"""
32,2023-02-09,"BuddyKu Headlines on Instagram: ""Loyalis Anies Baswedan, Geisz Chalifah ...",https://www.instagram.com/p/CocUm94PV0K/,"135 Likes, 7 Comments - BuddyKu Headlines (@buddykuofficial) on Instagram: ""Loyalis Anies Baswedan, Geisz Chalifah mengaku para pendukung calon presiden usungan koalisi…""","BuddyKu Headlines on Instagram: ""Loyalis Anies Baswedan, Geisz Chalifah ...-135 Likes, 7 Comments - BuddyKu Headlines (@buddykuofficial) on Instagram: ""Loyalis Anies Baswedan, Geisz Chalifah mengaku para pendukung calon presiden usungan koalisi…"""
33,2023-02-09,"Bella on Instagram: ""Pendukung partai apa nih?""",https://www.instagram.com/p/CoclkVgyJnC/,"8 Likes, 2 Comments - Bella (@teman2bella) on Instagram: ""Pendukung partai apa nih?""","Bella on Instagram: ""Pendukung partai apa nih?""-8 Likes, 2 Comments - Bella (@teman2bella) on Instagram: ""Pendukung partai apa nih?"""
