title,href,body,date
Anies Rasyid Baswedan on Twitter,https://twitter.com/aniesbaswedan/status/1630841083117867011,"Anies Rasyid Baswedan on Twitter-Anies Rasyid Baswedan. @aniesbaswedan. Berbagi pengalaman pada Young Global Leaders di Nanyang Technological University, Singapore. Di depan puluhan peserta dari seluruh dunia, menceritakan transformasi Jakarta sebagai Kota Global. #AniesBaswedan #YoungGlobalLeaders. @yglvoices.",2023-03-01
"on Twitter: ""Cuma Anies kepala daerah yg mampu selenggarakan event ...",https://twitter.com/ekowboy2/status/1630949801574699008,"on Twitter: ""Cuma Anies kepala daerah yg mampu selenggarakan event ...-""Cuma Anies kepala daerah yg mampu selenggarakan event internasional, Gubernur spek Presiden.. Yang sepakat Anies ambil alih kemudi kepemimpinan nasional 2024 silahkan retweet!!!""",2023-03-01
PKS memunculkan wacana duet 'CLBK' antara Anies Baswedan dan ... - Twitter,https://twitter.com/detikcom/status/1631170165835546624,"PKS memunculkan wacana duet 'CLBK' antara Anies Baswedan dan ... - Twitter-detikcom on Twitter: ""PKS memunculkan wacana duet 'CLBK' antara Anies Baswedan dan Sandiaga Uno untuk maju di Pilpres 2024. Begini respons Gerindra."" PKS memunculkan wacana duet 'CLBK' antara Anies Baswedan dan Sandiaga Uno untuk maju di Pilpres 2024. Begini respons Gerindra. 02 Mar 2023 05:50:47",2023-03-02
"detikcom on Twitter: ""Sampai saat ini cawapres Anies masih belum ...",https://twitter.com/detikcom/status/1631117058619367427,"detikcom on Twitter: ""Sampai saat ini cawapres Anies masih belum ...-news.detik.com PKS Buka Peluang Duetkan Anies-Sandiaga Uno di Pemilu 2024 PKS tidak menampik sampai saat ini cawapres Anies masih belum diputuskan. PKS bahkan mulai membuka peluang agar Anies berdampingan dengan Sandiaga Uno di 2024. 2:19 AM · Mar 2, 2023 · 27.9K Views 5 Retweets 10 Quote Tweets 55 Likes Suryanto @Suryant52658133 · 8h Replying to",2023-03-02
"tvOnenews on Twitter: ""Anies Baswedan menyampaikan bahwa dirinya akan ...",https://twitter.com/tvOneNews/status/1631238392565596160,"tvOnenews on Twitter: ""Anies Baswedan menyampaikan bahwa dirinya akan ...-Anies Baswedan menyampaikan bahwa dirinya akan melanjutkan proyek IKN ketika terpilih sebagai presiden di Pilpres 2024. #HardNews_Politik #NewsOne #CariBeritaditvOne #AniesBaswedan 02 Mar 2023 10:21:54",2023-03-02
"detikcom on Twitter: ""#FOTO Majelis Tinggi Demokrat telah menggelar ...",https://twitter.com/detikcom/status/1631192251530457088,"detikcom on Twitter: ""#FOTO Majelis Tinggi Demokrat telah menggelar ...-Disepakati bahwa Anies Baswedan didukung sebagai capres 2024."" #FOTO Majelis Tinggi Demokrat telah menggelar rapat membahas keputusan capres yang akan diusung. Disepakati bahwa Anies Baswedan didukung sebagai capres 2024. 02 Mar 2023 07:18:33",2023-03-02
GELORA NEWS on Twitter,https://twitter.com/geloraco/status/1631206282823860224,"GELORA NEWS on Twitter-Usai Gaya Hedon Pejabat Pajak Terbongkar, Novel Baswedan Minta Netizen Lacak Harta 3 Pimpinan KPK. Translate Tweet. gelora.co. Usai Gaya Hedon Pejabat Pajak Terbongkar, Novel Baswedan Minta Netizen Lacak Harta 3 Pimpinan KPK. 8:14 AM · Mar 2, 2023. 807. Retweets. 30. Quotes. 2,668. Likes. nicole.",2023-03-02
Semoga Pak Anies Baswedan menjadi Presiden RI 2024 🙏 https ... - Twitter,https://twitter.com/Mdy_Asmara1701/status/1633095036488544256,Semoga Pak Anies Baswedan menjadi Presiden RI 2024 🙏 https ... - Twitter-Semoga Pak Anies Baswedan menjadi Presiden RI 2024 🙏 https://youtu.be/VRP6_3nazDY. 07 Mar 2023 13:19:32,2023-03-07
Anies Rasyid Baswedan on Twitter,https://twitter.com/aniesbaswedan/status/1632954561278386176,"Anies Rasyid Baswedan on Twitter-Anies Rasyid Baswedan on Twitter: ""Memberikan kuliah umum di ST Lee Annual Lecture, Crawford School of Public Policy di Australian National University, Canberra. Kami membahas sinkronisasi proses teknokrasi pemerintahan dengan proses demokrasi. #AniesBaswedan #kuliahumum #ANU #Canberra #Australia #UntukIndonesia https://t.co/ecT9uENGm6"" / Twitter",2023-03-07
"💤🇯🇵🅰🅻🇪 ™ ⛪🕌🕍🛕⛩🙏💞🇮🇩ⓃⓀⓇⒾ🌏 on Twitter: ""Pencitraan terus nih keturunan ...",https://twitter.com/alextham878/status/1633065053707698182,"💤🇯🇵🅰🅻🇪 ™ ⛪🕌🕍🛕⛩🙏💞🇮🇩ⓃⓀⓇⒾ🌏 on Twitter: ""Pencitraan terus nih keturunan ...-""Pencitraan terus nih keturunan tirani PKI otak planga plongo punya bapak ijasah palsu di bandingkan dengan Anies Baswedan jauh lebih berkualitas setelah 2024 menangkan pilpres,takbir coblos Anies 2024'. Mantap ini sindiran kepada Yohanes🤔🤣""",2023-03-07
Musni Umar on Twitter,https://twitter.com/musniumar/status/1633032807332315137,"Musni Umar on Twitter-Musni Umar on Twitter: ""Depo Pertamina di Plumpang Jakut yg terbkr, berakibat 19 org meninggal dunia, Politikus PDIP & PSI salahkan Anies Baswedan, Gub. DKI 2017-2022 yg beri sertifikat smntr kpd warga. Mrk tdk berani slhkan warga yg korban krn takut kehilangan dukungan suara dlm pemilu 2024. Juga tdk… https://t.co/B8ou0LMgxk"" / Twitter @musniumar",2023-03-07
Anies Rasyid Baswedan on Twitter,https://twitter.com/aniesbaswedan/status/1633333986402664451,"Anies Rasyid Baswedan on Twitter-@aniesbaswedan and @ourANU Bangga punya pemimpin secerdas ini, kelahiran Kuningan besar di Yogyakarta bertugas di Jakarta Insya Alloh jadi Presiden RI 2024 2 1 9 Slava Ukraini @KeiIndonesia · 41m Replying to @aniesbaswedan and @ourANU Terus, woww gt yahh.. Asal Gawe YT @ifoelpunya · 39m Replying to @aniesbaswedan and @ourANU",2023-03-08
"detikcom on Twitter: ""Terkait sosok yang menjanjikan untuk dampingi ...",https://twitter.com/detikcom/status/1633695080946204672,"detikcom on Twitter: ""Terkait sosok yang menjanjikan untuk dampingi ...-Terkait sosok yang menjanjikan untuk dampingi Anies di Pilpres 2024, Demokrat menilai pasangan Anies dan AHY lebih menjanjikan daripada Anies dan Khofifah. 09 Mar 2023 05:03:54",2023-03-09
"MarahIchsan🇮🇩 on Twitter: """"Di Universitas Australia, Anies Nilai ...",https://twitter.com/MarahIchsan/status/1633802026105839617,"MarahIchsan🇮🇩 on Twitter: """"Di Universitas Australia, Anies Nilai ...-""Di Universitas Australia, Anies Nilai Penanganan Covid Pemerintah Pusat Buruk"" 09 Mar 2023 12:08:52",2023-03-09
"detikcom on Twitter: ""Demokrat dorong AHY, lalu NasDem dorong Khofifah ...",https://twitter.com/detikcom/status/1634020427310792704,"detikcom on Twitter: ""Demokrat dorong AHY, lalu NasDem dorong Khofifah ...-Demokrat dorong AHY, lalu NasDem dorong Khofifah untuk jadi pendamping Anies di 2024. Siapa yang lebih cocok? Bagaimana menurut detikers? Translate Tweet news.detik.com AHY atau Khofifah Jadi Pendamping Anies? Ini Kelebihan dan Kelemahannya Demokrat dorong AHY dan NasDem dorong Khofifah untuk jadi pendamping Anies di 2024. Siapa yang lebih cocok?",2023-03-10
"detikcom on Twitter: ""Anies Baswedan berada diurutan nteratas survei ...",https://twitter.com/detikcom/status/1634481959962398721,"detikcom on Twitter: ""Anies Baswedan berada diurutan nteratas survei ...-Anies Baswedan berada diurutan nteratas survei elektabilitas capres 2024 dalam survei IPO. Sementara nama AHY keluar sebagai cawapres favorit versi IPO. Translate Tweet news.detik.com Survei IPO: Anies Ungguli Ganjar dan Prabowo, AHY Cawapres Favorit Anies Baswedan berada diurutan nteratas survei elektabilitas capres 2024 dalam survei IPO.",2023-03-11
"detikcom on Twitter: ""Duet Anies-AHY diyakini Partai Demokrat lebih ...",https://twitter.com/detikcom/status/1634413695471173632,"detikcom on Twitter: ""Duet Anies-AHY diyakini Partai Demokrat lebih ...-@detikcom ANIES -KHOFIFAH adalah pasangan yg tepat.keduanya telah teruji,rekam jejaknya dalam pemerintahan sudah jelas.dan sangat bagus untuk k tiga partai pengusung.karena baik Anies maupun khofifah saat ini bukanlah kader partai manapun. 1",2023-03-11
LANGKAH ANIES Serius Tenang Tuntas on Twitter,https://twitter.com/LANGKAHANIES/status/1634822052892012544,"LANGKAH ANIES Serius Tenang Tuntas on Twitter-@aniesbaswedan Aliansi Nasional Indonesia Sejahtera menyampaikan dari puncak gunung Lawu Jawa tengah Anies Presiden untuk Indonesia Sejahtera Anies Presiden untuk Indonesia Perubahan. Anies untuk Indonesia 2024 Translate Tweet 0:36 900 views 7:42 AM · Mar 12, 2023 · 1,474 Views 38 Retweets 1 Quote Tweet 181 Likes Abdul Baki @AbdulBa99778257 · 3h",2023-03-12
"detikcom on Twitter: ""KS selaku partai yang mengusung Anies sebagai ...",https://twitter.com/detikcom/status/1634746838975741954,"detikcom on Twitter: ""KS selaku partai yang mengusung Anies sebagai ...-PKS Bersyukur Elektabilitas Anies di Survei IPO Ungguli Ganjar dan Prabowo KS selaku partai yang mengusung Anies sebagai capres untuk Pemilu 2024 merasa bersyukur dengan hasil survei tersebut. 2:43 AM · Mar 12, 2023 · 156.3K Views 3 Retweets 5 Quote Tweets 31 Likes Langlang Buana @langlangbuana__ · Mar 12 Replying to @detikcom",2023-03-12
"DPP PKS on Twitter: ""Workshop Pemenangan di Perbatasan Malaysia ...",https://twitter.com/PKSejahtera/status/1635566447479988224,"DPP PKS on Twitter: ""Workshop Pemenangan di Perbatasan Malaysia ...-Workshop Pemenangan di Perbatasan Malaysia-Indonesia, PKS Kaltara Siap Menangkan PKS dan Anies Baswedan ""Tahun 2024 ini adalah tahun yang sangat menentukan bagi kemajuan dan perubahan bangsa Indonesia,"" kata Muhammad Nasir Ketua DPW @pks_kaltara.",2023-03-14
"Tucker Carlson on Twitter: ""We asked every potential 2024 GOP ...",https://twitter.com/TuckerCarlson/status/1635442071073955841,"Tucker Carlson on Twitter: ""We asked every potential 2024 GOP ...-We asked every potential 2024 GOP presidential candidate to answer six key questions on the war in Ukraine. As promised, their full responses are below. 7:56 1.5M views 12:45 AM · Mar 14, 2023 · 4.4M Views 7,713 Retweets 883 Quotes 27.7K Likes 2,400 Bookmarks Tucker Carlson @TuckerCarlson · Mar 14 Former President @realDonaldTrump",2023-03-14
Rusmawandi Bintoro on Twitter,https://twitter.com/RusmawandiBint4/status/1635886285335445505,"Rusmawandi Bintoro on Twitter-Anies Baswedan, Namanya Sejajar dengan Presiden Rusia Vladimir Putin | Relawan Anies Baswedan ABWNEWS - Bermula dari keikutsertaanya dalam AFS Intercultural Programs, yakni program pertukaran pelajar siswa Indonesia-Amerika (1987), nama Anies Baswedan masuk dalam daftar 100 Intelektual... 572 204 676 Rusmawandi Bintoro @RusmawandiBint4 Replying to",2023-03-15
"DPP PKS on Twitter: ""PKS Minahasa Tenggara Optimis 'Pecah Telur' Satu ...",https://twitter.com/PKSejahtera/status/1635886474137841666,"DPP PKS on Twitter: ""PKS Minahasa Tenggara Optimis 'Pecah Telur' Satu ...-PKS Minahasa Tenggara Optimis 'Pecah Telur' Satu Kursi DPRD dari Dapil Belang-Ratatotok ""Kami siap memenangkan PKS dan Anies Baswedan di Minahasa Tenggara pada kontestasi 2024 nanti,"" ungkap Ketua DPD PKS Minahasa Tenggara Muhammad Nasir Masloman.",2023-03-15
"Musni Umar on Twitter: ""Sudah hampir 2 minggu terbakar Depo Pertamina ...",https://twitter.com/musniumar/status/1635961236260257792,"Musni Umar on Twitter: ""Sudah hampir 2 minggu terbakar Depo Pertamina ...-Sudah hampir 2 minggu terbakar Depo Pertamina Plumpang Jakarta, masih saja Anies diserang. Slh satu yg salahkan Anies adalah Ketua Fraksi PAN DPRD DKI. Anies beri keadilan rakyat https://arahjaya.com/2023/03/15/serangan-kepada-anies-soal-kebakaran-depo-pertamina-plumpang/…… Show more 15 Mar 2023 11:08:48",2023-03-15
Anies Rasyid Baswedan on Twitter,https://twitter.com/aniesbaswedan/status/1636336596894232577,"Anies Rasyid Baswedan on Twitter-@aniesbaswedan Kalo yg ngritik pegawai pemprov dki, dm aja pimpinan tertinggi instansi tersebut 👀 Anies Baswedan akan sy penjarakan sesuai pesanan @jandakembang78 · Mar 16 Replying to @aniesbaswedan Hadapi dgn fakta, orang yg waras akan puas. Orang ga waras seribu fakta pun dia tdk akan gubris Angels3 @Angels395234018 · Mar 16 Replying to",2023-03-16
"Azhari on Twitter: ""@Uki23 Anies Baswedan 2024... Tabliq, amanah ...",https://twitter.com/sipil82/status/1636492961180700672,"Azhari on Twitter: ""@Uki23 Anies Baswedan 2024... Tabliq, amanah ...-""@Uki23 Anies Baswedan 2024... Tabliq, amanah, fathonah, sidiq...nasionalis, bukan boneka oligarki.""",2023-03-16
Formas NU Deklarasi Siap Menangkan Anies Capres 2024: Sukses ... - Twitter,https://twitter.com/geloraco/status/1636229419441487873,Formas NU Deklarasi Siap Menangkan Anies Capres 2024: Sukses ... - Twitter-Formas NU Deklarasi Siap Menangkan Anies Capres 2024: Sukses Pimpin Jakarta. 16 Mar 2023 04:54:27,2023-03-16
"tempo.co on Twitter: ""Anies Baswedan membantah dirinya disebut mencuri ...",https://twitter.com/tempodotco/status/1636562926600585216,"tempo.co on Twitter: ""Anies Baswedan membantah dirinya disebut mencuri ...-Anies Baswedan membantah dirinya disebut mencuri start kampanye untuk Pemilihan Presiden 2024. Translate Tweet nasional.tempo.co Bantah Curi Start Kampanye, Anies Baswedan Ibaratkan Kegiatannya Kelas Akselerasi Anies Baswedan berharap kontestasi Pilpres 2024 berlangsung adil dan pemegang kewenangan bisa mempertahankan netralitasnya.",2023-03-17
"Musni Umar on Twitter: ""Isu yg dimainkan utk mendiskreditkan Anies ...",https://twitter.com/musniumar/status/1636669198855475200,"Musni Umar on Twitter: ""Isu yg dimainkan utk mendiskreditkan Anies ...-Isu yg dimainkan utk mendiskreditkan Anies Baswedan dengan memasang spanduk di berbagai daerah yg didatangi termasuk di Surabaya, selalu sama yaitu Isu khilafah, radikalisme, terorisme, politik identitas. Pada hal Anies tdk pernah ngomongin soal tsb apalagi melakukannya. Saya… Show more 17 Mar 2023 10:01:59",2023-03-17
Dukung Anies Baswedan's Tweets - Twitter,https://twitter.com/DukungBaswedan,"Dukung Anies Baswedan's Tweets - Twitter-Jaman perubahan di mulai dari Anies Baswedan 2024. Kota Surabaya, Jawa TimurJoined March 2023 39Following 8Followers Tweets Replies Media Likes Dukung Anies Baswedan's Tweets Dukung Anies BaswedanRetweeted KBA NEWS @kba_news 11h Anies Ziarah ke Makam Sunan Ampel Bertemu Orang Pernah Berinteraksi dengan Kakeknya kbanews.com",2023-03-18
"on Twitter: ""Madura bukan kaleng-kaleng.. Insya'allah 2024 kita punya ...",https://twitter.com/ekowboy2/status/1637032300348309504,"on Twitter: ""Madura bukan kaleng-kaleng.. Insya'allah 2024 kita punya ...-Insya'allah 2024 kita punya pemimpin yg mampu membawa perubahan bangsa jauh lebih baik, Anies di hati rakyat!! 0:50. 9.4K views. ... Insya'allah 2024 kita punya pemimpin yg mampu membawa perubahan bangsa jauh lebih baik, Anies di hati rakyat!! 0:50. 9.4K views. 10:04 AM · Mar 18, 2023 ...",2023-03-18
Anies Rasyid Baswedan on Twitter,https://twitter.com/aniesbaswedan/status/1637459163105361923,"Anies Rasyid Baswedan on Twitter-Anies Rasyid Baswedan on Twitter: ""Di tengah teriknya siang puluhan ribu kader Partai Keadilan Sejahtera bergeming pada apel siaga kemenangan PKS Banten 2024, di Stadion Maulana Yusuf, Ciceri, Kota Serang hari ini. #AniesBaswedan #apelsiaga #PartaiKeadilanSejahtera #PKSBanten #Serang #Banten #untukIndonesia https://t.co/glr5JqaOS7"" / Twitter",2023-03-19
Anies Rasyid Baswedan on Twitter,https://twitter.com/aniesbaswedan/status/1637333212027568128,"Anies Rasyid Baswedan on Twitter-Anies Rasyid Baswedan on Twitter: ""Surabaya adalah kota kelahiran kakek kami, A.R. Baswedan. Mengunjungi kawasan Ampel dan berziarah ke Makam Sunan Ampel kemarin malam. Sebuah kehormatan disambut hangat, dan mendapat berbagai nasihat teladan dari para ulama dan habaib. #AniesBaswedan #JawaTimur #UntukIndonesia https://t.co/MXeDfsAXz8"" / Twitter",2023-03-19
"DPP PKS on Twitter: ""Sepuluh Ribu Anggota PKS se-Banten Turun Deklarasi ...",https://twitter.com/PKSejahtera/status/1637710563714416640,"DPP PKS on Twitter: ""Sepuluh Ribu Anggota PKS se-Banten Turun Deklarasi ...-DPP PKS on Twitter: ""Sepuluh Ribu Anggota PKS se-Banten Turun Deklarasi Dukung Anies Baswedan https://pks.id/content/sepuluh-ribu-anggota-pks-se-banten-turun-deklarasi-dukung-anies-baswedan…"" Sepuluh Ribu Anggota PKS se-Banten Turun Deklarasi Dukung Anies Baswedan",2023-03-20
"on Twitter: ""Kata Hasto Surabaya sepi, biar fakta yang bicara.. Dari ...",https://twitter.com/ekowboy2/status/1637619234707767297,"on Twitter: ""Kata Hasto Surabaya sepi, biar fakta yang bicara.. Dari ...-Yg namanya kader partai dibayar suru hura hura ya pasti mau, hebat dimananya.",2023-03-20
Anies Rasyid Baswedan on Twitter,https://twitter.com/aniesbaswedan/status/1638103192343912450,"Anies Rasyid Baswedan on Twitter-@aniesbaswedan and @AgusYudhoyono Bagus, sering-sering berdiskusi utk mematangkan koalisi termasuk memantapkan visi misi. Semoga kerjasama itu terus berlanjut yg dilaksanakan secara ikhlas, terbuka, saling percaya, bankable, eligible demi kemaslahatan masa depan bangsa dan negara Indonesia yg bermartabat mulia 2 1 29",2023-03-21
Anies Rasyid Baswedan on Twitter,https://twitter.com/aniesbaswedan/status/1638331796671852545,"Anies Rasyid Baswedan on Twitter-Anies Baswedan - Sebuah kehormatan bagi kami bisa kembali... Sebuah kehormatan bagi kami bisa kembali dan bersilaturahim di Pondok Pesantren Luhur Al-Tsaqafah, bersama Abuya, K.H. Said Aqil Siroj. Ketika kami... 2 13 110 M Ali Ansor Rumfaran @MRumfaran · 13h Replying to @aniesbaswedan @saidaqil and @altsaqafah",2023-03-22
Anies Baswedan resmi calon presiden RI 2024 dari Koalisi ... - Twitter,https://twitter.com/musniumar/status/1639361102541897728,"Anies Baswedan resmi calon presiden RI 2024 dari Koalisi ... - Twitter-Anies Baswedan resmi calon presiden RI 2024 dari Koalisi Perubahan (NasDem, Demokrat & PKS) 24 Mar 2023 20:18:39",2023-03-24
Terimakasih... Sekarang saya baru tahu klo bro anies ini ... - Twitter,https://twitter.com/Moch_herianto/status/1640353315577024516,Terimakasih... Sekarang saya baru tahu klo bro anies ini ... - Twitter-Terimakasih... Sekarang saya baru tahu klo bro anies ini orang arab...!! 27 Mar 2023 14:01:21,2023-03-27
"Anies Rasyid Baswedan on Twitter: """"Anies, yang kita punya cuma nama ...",https://twitter.com/aniesbaswedan/status/1640654995875065857,"Anies Rasyid Baswedan on Twitter: """"Anies, yang kita punya cuma nama ...-Anies Rasyid Baswedan on Twitter: """"Anies, yang kita punya cuma nama baik, jaga nama itu baik-baik."" itulah bekal dari orang tua yang jadi pegangan hingga hari ini. #AniesBaswedan #PutriTanjung #ngobrolsoresemaunya #orangtua #podcast #UntukIndonesia"" ""Anies, yang kita punya cuma nama baik, jaga nama itu baik-baik.""",2023-03-28
"Dokter Tifa on Twitter: ""Saya dukung @aniesbaswedan utk 2029. Saran ...",https://twitter.com/DokterTifa/status/1640892113935286274,"Dokter Tifa on Twitter: ""Saya dukung @aniesbaswedan utk 2029. Saran ...-Saya dukung @aniesbaswedan utk 2029. Saran saya Anies sebaiknya sejak sekarang bikin Partai, berjuang dr NOL, shg punya dignity, tidak didikte dan harus balas budi ketika jadi Presiden. Utk 2024, apa boleh buat saya dukung @prabowo. Demi Bangsa ini survive dan tdk hancur. 29 Mar 2023 01:42:20",2023-03-29
"detikcom on Twitter: ""Duet Prabowo Subianto dengan Ganjar Pranowo ...",https://twitter.com/detikcom/status/1641269358054760451,"detikcom on Twitter: ""Duet Prabowo Subianto dengan Ganjar Pranowo ...-Duet Prabowo Subianto dengan Ganjar Pranowo disebut tergantung posisi Anies Baswedan. 30 Mar 2023 02:41:22",2023-03-30
"Indonesia Lawyers Club on Twitter: ""#PollingILC Hari ini 5 Partai ...",https://twitter.com/ILCTalkshow/status/1642462722498629632,"Indonesia Lawyers Club on Twitter: ""#PollingILC Hari ini 5 Partai ...-Indonesia Lawyers Club on Twitter: ""#PollingILC Hari ini 5 Partai Koalisi Pemerintah mengumumkan Prabowo Subianto Calon Presiden & Airlangga Hartarto Wakil Presiden di tahun 2024. Sementara 3 Partai lain sepakat Anies Baswedan Capres mereka. Tinggal PDIP belum mengumumkan. Menurut Anda siapa akhirnya calon PDIP?""",2023-04-02
"Denny Siregar on Twitter: ""Pembicaraan batalnya piala dunia U20 ...",https://twitter.com/Dennysiregar7/status/1642936125596798976,"Denny Siregar on Twitter: ""Pembicaraan batalnya piala dunia U20 ...-Denny Siregar on Twitter: ""Pembicaraan batalnya piala dunia U20 narasinya masih sekitar Ganjar, Erick, Wayan Koster, PDI Perjuangan.. Anies sampe megap2 pengen beritain kunjungan dia ke daerah2, tapi gada yang bahas ketelan keributan. Akhirnya orang2 lupa, ""Siapa ya Anies Baswedan ?""""",2023-04-03
"Yurisa_Samosir on Twitter: ""Mengerikan dengan segala Cara Harus di ...",https://twitter.com/Yurissa_Samosir/status/1642896041258397701,"Yurisa_Samosir on Twitter: ""Mengerikan dengan segala Cara Harus di ...-Yurisa_Samosir on Twitter: ""Mengerikan dengan segala Cara Harus di Gagalkan Pencapresan Anies Baswedan dari Mulai Pemilu di Tunda, Lalu Anies Harus Jadi Tersangka KPK, dan Kemudian Partai Demokrat di Kudeta ,agar ANIES BASWEDAN Tidak Jadi Capres 2024 !!!!""",2023-04-03
"Relawan Anies Baswedan on Twitter: ""Ini Alasan Mengapa Warga NU Harus ...",https://twitter.com/Relawananies/status/1643421386659213312,"Relawan Anies Baswedan on Twitter: ""Ini Alasan Mengapa Warga NU Harus ...-Ini Alasan Mengapa Warga NU Harus Pilih Anies Jadi Presiden di 2024. 05 Apr 2023 01:12:46 ...",2023-04-05
Udagan Muttaqin's Tweets - Twitter,https://twitter.com/UdaganMuttaqin,"Udagan Muttaqin's Tweets - Twitter-sudah bebas pajak sekian tahun, sudah obral HGU 400 tahun, sudah diizinkan uang haram bisa masuk.. tetap ga ngangkat?? apa yang salah? padahal janji pakde januari 2023 udah pada b",2023-04-07
Udagan Muttaqin's Tweets - Twitter,https://twitter.com/UdaganMuttaqin,"Udagan Muttaqin's Tweets - Twitter-sudah bebas pajak sekian tahun, sudah obral HGU 400 tahun, sudah diizinkan uang haram bisa masuk.. tetap ga ngangkat?? apa yang salah? padahal janji pakde januari 2023 udah pada b",2023-04-08
HEADLINE: Wacana Pasangkan Anies Baswedan dan Sandiaga Uno di ... - Twitter,https://twitter.com/21BeritaTerkini/status/1645529228367233024,"HEADLINE: Wacana Pasangkan Anies Baswedan dan Sandiaga Uno di ... - Twitter-HEADLINE: Wacana Pasangkan Anies Baswedan dan Sandiaga Uno di Pilpres 2024, Peluangnya? 10 Apr 2023 20:48:35",2023-04-10
Twitter,https://twitter.com/Umar_Hasibuan__/status/1647266097895440385/mediaviewer,Twitter-Ratusan juta Rakyat Indonesia Menginginkan Perubahan dan Perbaikan Untuk Indonesia yg Lebih baik bersama Anies Baswedan. 27. 107. 432. NAMAKU NINA ... 1000 ADVOKAT SIAP BERJUANG SIAP MEMBELA ANIES RASYID BASWEDAN 2024 PRESIDEN RI pernyataan sikap tim Relawan Advokat . @aniesbaswedan. 9. 98. 335.,2023-04-14
Twitter,https://twitter.com/Umar_Hasibuan__/status/1647267072093876224/mediaviewer,"Twitter-1000 ADVOKAT SIAP BERJUANG SIAP MEMBELA ANIES RASYID BASWEDAN 2024 PRESIDEN RI pernyataan sikap tim Relawan Advokat @aniesbaswedan 23 151 Stev3n_Peg3l @Stev3n_Peg3l · 16h · Follow pak menkopolhukam bersuara terkait aparat penegak hukum yg ikut-2an terkait kritik bima kepada pemerintah lampung, kita tunggu senin ya 26 288 🄴🄺🄾 🅆🄸🄳🄾🄳🄾 @ekowboy2 · 2h ·",2023-04-15
Twitter,https://twitter.com/Umar_Hasibuan__/status/1647266097895440385/mediaviewer,"Twitter-@aniesbaswedan 9 98 335 Hanoman Putih @wonglicik062 · 10h · Follow Bos ada yg baru nih foto Mentri BUMN muncul di ATM, bungkus kripik, paket sembako hingga kaos mudik bersama BUMN ada loh mukanya mumpung masih menjabatlah gunakan dulu buat kampanye tersembunyi, tahun 2024 tinggal 8 bulan lagi MUNDUR WOEY kalau mau kampanye 6 50 112 scratch",2023-04-15
