Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text,Date
0,4.0,0.8381,"baswedan, demokrat, kota, jakarta, ampel, ulama, anies, kakek, sunan, makam",anies rasyid baswedan twitteranies rasyid baswedan bagi alam young global leaders nanyang technological university singapore puluh serta dunia cerita transformasi jakarta kota global,2023-03-01
1,0.0,0.926,"anies, baswedan, daerah, twitter, dunia, ibukota, khusus, pertamina, depo, bicara",twitter anies kepala daerah selenggara event anies kepala daerah selenggara event internasional gubernur spek presiden sepakat anies alih pimpin nasional silah retweet,2023-03-01
2,2.0,0.9123,"partai, baswedan, anies, twitter, presiden, indonesia, juang, advokat, demokrasi, perintah",partai adil sejahtera muncul wacana duet cinta lama semi kembali anies baswedan twitterdetikcom twitter partai adil sejahtera muncul wacana duet cinta lama semi kembali anies baswedan sandiaga uno maju pilpres respons gerindra partai adil sejahtera muncul wacana duet cinta lama semi kembali anies baswedan sandiaga uno maju pilpres respons gerindra mar,2023-03-02
3,3.0,0.6857,"anies, partai, baswedan, adil, twitter, presiden, survei, indonesia, detikcom, menang",detikcom twitter cawapres anies newsdetikcom partai adil sejahtera peluang duet aniessandiaga uno pilih umum partai adil sejahtera tampik cawapres anies putus partai adil sejahtera buka peluang anies damping sandiaga uno mar views retweets quote tweets suryanto replying,2023-03-02
4,2.0,0.8371,"partai, baswedan, anies, twitter, presiden, indonesia, juang, advokat, demokrasi, perintah",tvonenews twitter anies baswedan anies baswedan lanjut proyek pilih presiden pilpres mar,2023-03-02
5,3.0,0.9263,"anies, partai, baswedan, adil, twitter, presiden, survei, indonesia, detikcom, menang",detikcom twitter majelis demokrat gelar pakat anies baswedan dukung majelis demokrat gelar rapat bahas putus usung pakat anies baswedan dukung mar,2023-03-02
6,3.0,0.9463,"anies, partai, baswedan, adil, twitter, presiden, survei, indonesia, detikcom, menang",gelora twitterusai gaya hedon jabat pajak bongkar novel baswedan netizen lacak harta pimpin komisi berantas koruptor translate tweet geloraco gaya hedon jabat pajak bongkar novel baswedan netizen lacak harta pimpin komisi berantas koruptor mar retweets quotes nicole,2023-03-02
7,3.0,0.8983,"anies, partai, baswedan, adil, twitter, presiden, survei, indonesia, detikcom, menang",moga anies baswedan presiden https twittersemoga anies baswedan presiden mar,2023-03-07
8,2.0,0.7984,"partai, baswedan, anies, twitter, presiden, indonesia, juang, advokat, demokrasi, perintah",anies rasyid baswedan twitteranies rasyid baswedan twitter kuliah lee annual lecture crawford school public policy australian national university canberra bahas sinkronisasi proses teknokrasi perintah proses demokrasi twitter,2023-03-07
9,3.0,0.8648,"anies, partai, baswedan, adil, twitter, presiden, survei, indonesia, detikcom, menang",twitter citra turun citra turun tiran pki otak planga plongo ijasah palsu banding anies baswedan kualitas menang pilprestakbir coblos anies mantap sindir yohanes,2023-03-07
